Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\Bullet\MiniCL\MiniCLTask,2,138,68,31,4,39,1,31,303,28,290
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\Bullet\vectormath,20,19141,11890,7197,1211,3298,117,3953,19344,378,3332
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\Bullet\vectormath\neon,6,5841,3672,2148,378,1019,14,1150,5271,92,864
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\Bullet\vectormath\scalar,6,5935,3780,2149,377,1009,14,1146,5253,90,858
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\Bullet\vectormath\sse,7,7333,4416,2895,456,1260,84,1657,8810,196,1610
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\DevIL,8,1794,1140,511,0,286,149,368,2017,69,165
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\DevIL\include,8,1794,1140,511,0,286,149,368,2017,69,165
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\DevIL\include\IL,8,1794,1140,511,0,286,149,368,2017,69,165
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD,22,13348,5950,3814,3,1329,2273,6069,64142,167,1327
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD\Android,7,4372,1965,1266,1,436,747,1971,21119,54,434
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD\Android\inc,7,4372,1965,1266,1,436,747,1971,21119,54,434
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD\IOS,8,4595,2011,1281,1,457,770,2127,21804,59,459
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD\IOS\inc,8,4595,2011,1281,1,457,770,2127,21804,59,459
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD\Win32,7,4381,1974,1267,1,436,756,1971,21219,54,434
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\FMOD\Win32\inc,7,4381,1974,1267,1,436,756,1971,21219,54,434
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\GLEW,3,20169,15554,5680,0,3785,612,830,5542,202,1758
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\GLEW\include,3,20169,15554,5680,0,3785,612,830,5542,202,1758
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\GLEW\include\GL,3,20169,15554,5680,0,3785,612,830,5542,202,1758
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES,40,11441,6195,2065,102,1252,349,3994,17608,436,1134
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\GL2,8,2296,1413,392,0,330,80,553,2856,26,210
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\GL2\Include,8,2296,1413,392,0,330,80,553,2856,26,210
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\GL2\Include\EGL,3,631,372,85,0,106,72,153,1337,26,210
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\GL2\Include\GLES2,4,1362,926,262,0,190,6,246,686,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\GL2\Include\KHR,1,303,115,45,0,34,2,154,833,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES,32,9145,4782,1673,102,922,269,3441,14752,410,924
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES\Include,31,9088,4761,1664,102,913,269,3414,14601,389,803
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES\Include\GLES,2,1092,746,212,0,145,22,201,802,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES\Include\Tools,5,696,305,89,0,116,7,275,1092,67,131
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES\Windows,1,57,21,9,0,9,0,27,151,21,121
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES\Windows\Include,1,57,21,9,0,9,0,27,151,21,121
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\OpenGLES\OGLES\Windows\Include\GLES,1,57,21,9,0,9,0,27,151,21,121
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\PVRTexLib,9,2117,1171,448,31,274,37,672,3153,137,245
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\PVRTexLib\include,9,2117,1171,448,31,274,37,672,3153,137,245
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx,244,83624,29799,15459,963,12402,1765,41423,286409,1285,5222
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include,244,83624,29799,15459,963,12402,1765,41423,286409,1285,5222
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk,243,83355,29633,15458,963,12378,1763,41344,285887,1283,5218
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components,57,23772,12063,5337,564,3267,1105,8442,56098,304,1265
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kbaselib,28,10214,4908,2532,436,1525,117,3781,24279,64,152
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kbaselib\karch,2,468,321,33,0,58,18,89,630,4,7
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kbaselib\kfbx,1,1692,361,304,2,261,19,1070,6328,12,49
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kbaselib\klib,22,7827,4170,2181,434,1170,76,2487,16398,42,84
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\SDK\fbx\include\fbxfilesdk\components\kbaselib\object,2,159,33,14,0,29,2,97,631,4,8
